,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.88,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.72,0.8,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.68,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.16,0.64,0.8,0.0,0.0,0.0,0.0,0.04,0.92,0.84,0.4,0.2,0.0,0.0,0.0,0.0,0.32,0.84,0.32,0.0,0.0,0.0,0.0,0.0,0.16,0.64,0.68,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.0,0.96,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.88,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.8,0.56,0.36,0.0,0.0,0.0,0.0,0.0,0.6,0.88,0.12,0.04,1.0,0.0,0.0,0.0,0.0,0.4,0.96,0.2,0.0,0.36,0.76,0.0,0.0,0.0,0.0,0.8,0.48,0.0,0.24,0.92,0.16,0.0,0.0,0.0,0.0,0.8,0.12,0.28,0.96,0.36,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.88,0.32,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.68,0.08,0.04,0.12,0.0,0.4,0.6,0.68,0.68,0.12,0.0,0.36,0.72,0.24,0.0,0.2,0.04,0.72,0.72,0.4,0.8,0.56,0.04,0.0,0.0,0.0,0.0,0.0,0.2,0.44,0.24,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.12,0.8,0.0,0.04,0.32,0.0,0.0,0.0,0.0,0.04,0.76,0.6,0.0,0.76,0.6,0.0,0.0,0.0,0.04,0.6,0.84,0.04,0.68,0.88,0.12,0.0,0.0,0.04,0.64,0.8,0.08,0.6,0.88,0.04,0.0,0.0,0.0,0.64,1.0,0.56,0.68,1.0,0.56,0.08,0.0,0.04,0.64,0.8,0.56,1.0,0.84,0.24,0.08,0.0,0.0,0.76,0.44,0.04,0.8,0.84,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.68,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.76,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.04,0.56,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.96,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.92,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.44,0.96,0.24,0.28,0.92,0.0,0.0,0.0,0.0,0.08,0.96,0.32,0.04,0.88,0.44,0.0,0.0,0.0,0.0,0.52,0.84,0.0,0.64,0.76,0.04,0.0,0.0,0.0,0.0,0.6,0.4,0.4,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.76,0.88,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.68,0.0,0.0,0.0,0.0,0.04,0.2,0.2,0.44,0.28,0.04,0.44,0.2,0.0,0.0,0.32,0.4,0.88,0.24,0.12,0.72,0.48,0.0,0.0,0.0,0.0,0.0,0.36,0.72,0.76,0.2,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.96,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.92,0.8,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.96,0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.2,0.88,0.8,0.12,0.0,0.0,0.0,0.0,0.0,0.24,0.96,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.52,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.0,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.4,0.24,0.84,0.0,0.0,0.0,0.0,0.8,1.0,1.0,1.0,0.92,0.24,0.0,0.0,0.0,0.0,0.6,1.0,0.88,0.32,0.08,0.0,0.0,0.0,0.04,0.52,1.0,1.0,0.48,0.0,0.0,0.0,0.0,0.0,0.32,0.28,0.0,0.52,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.96,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.88,0.88,0.16,0.0,0.0,0.0,0.0,0.0,0.24,0.96,0.84,0.12,0.0,0.0,0.0,0.0,0.0,0.4,0.88,0.92,0.92,0.32,0.0,0.0,0.0,0.0,0.84,0.6,0.2,0.04,0.4,0.32,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.96,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.92,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.92,0.68,0.04,0.0,0.0,0.0,0.0,0.0,0.2,0.96,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.88,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.96,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.96,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.92,0.84,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.84,0.76,0.12,0.0,0.0,0.0,0.0,0.0,0.24,0.88,0.88,0.08,0.0,0.0,0.0,0.0,0.0,0.32,0.96,0.8,0.12,0.0,0.0,0.0,0.0,0.0,0.32,1.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.88,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.76,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.76,0.84,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.76,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.84,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.68,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
